Date,Time,Open,High,Low,Close,Volume
2023-01-03,12:12,10885.25,10890.75,10884.5,10888.25,586
2023-01-03,12:13,10888.25,10893.25,10884.0,10892.75,668
2023-01-03,12:14,10893.0,10894.75,10888.75,10890.25,552
2023-01-03,12:15,10890.75,10892.5,10884.0,10885.25,654
2023-01-03,12:16,10885.25,10890.75,10884.0,10885.0,595
2023-01-03,12:17,10885.5,10885.5,10873.5,10875.5,1131
2023-01-03,12:18,10875.5,10880.25,10870.5,10878.75,1082
2023-01-03,12:19,10878.75,10880.75,10873.75,10875.25,484
2023-01-03,12:20,10875.75,10880.25,10872.5,10877.75,552
2023-01-03,12:21,10877.5,10888.0,10877.0,10883.75,1116
2023-01-03,12:22,10883.5,10884.75,10873.25,10873.75,736
2023-01-03,12:23,10874.0,10877.75,10862.25,10865.25,1114
2023-01-03,12:24,10865.0,10866.0,10853.0,10859.25,1745
2023-01-03,12:25,10859.5,10870.5,10857.0,10870.0,963
2023-01-03,12:26,10870.25,10879.0,10869.0,10876.25,993
2023-01-03,12:27,10876.25,10878.5,10872.75,10875.75,646
2023-01-03,12:28,10875.75,10878.25,10872.0,10873.0,348
2023-01-03,12:29,10873.25,10875.5,10871.5,10874.5,446
2023-01-03,12:30,10874.75,10879.25,10872.25,10874.25,580
2023-01-03,12:31,10874.75,10887.5,10874.25,10885.5,886
2023-01-03,12:32,10885.75,10886.75,10881.25,10883.25,686
2023-01-03,12:33,10883.75,10899.0,10880.75,10896.5,1289
2023-01-03,12:34,10896.75,10907.75,10895.0,10900.25,1744
2023-01-03,12:35,10900.0,10904.25,10897.25,10904.25,578
2023-01-03,12:36,10904.0,10904.25,10894.25,10895.0,695
2023-01-03,12:37,10895.75,10897.75,10891.75,10893.5,558
2023-01-03,12:38,10894.0,10896.0,10890.75,10895.5,585
2023-01-03,12:39,10895.5,10896.25,10886.75,10888.5,919
2023-01-03,12:40,10888.75,10890.75,10884.0,10885.25,885
2023-01-03,12:41,10885.0,10886.5,10881.0,10881.5,719
2023-01-03,12:42,10881.75,10885.75,10878.0,10879.5,808
2023-01-03,12:43,10879.25,10881.25,10875.5,10878.25,658
2023-01-03,12:44,10878.0,10879.75,10875.5,10877.75,522
2023-01-03,12:45,10878.0,10879.25,10867.75,10868.5,1275
2023-01-03,12:46,10868.25,10868.5,10851.25,10852.25,2422
2023-01-03,12:47,10852.25,10859.75,10844.75,10856.0,2310
2023-01-03,12:48,10856.25,10862.5,10852.5,10854.5,1034
2023-01-03,12:49,10854.75,10859.5,10851.0,10855.75,630
2023-01-03,12:50,10855.25,10861.25,10855.0,10856.0,858
2023-01-03,12:51,10855.75,10860.25,10852.75,10856.0,626
2023-01-03,12:52,10856.25,10862.25,10855.5,10857.75,780
2023-01-03,12:53,10858.25,10858.75,10853.5,10854.75,445
2023-01-03,12:54,10855.0,10859.75,10853.5,10857.5,549
2023-01-03,12:55,10857.25,10860.5,10853.75,10856.5,683
2023-01-03,12:56,10856.25,10871.25,10850.25,10869.25,1543
2023-01-03,12:57,10869.25,10881.0,10867.25,10877.0,1132
2023-01-03,12:58,10877.75,10878.0,10866.5,10868.5,1059
2023-01-03,12:59,10868.75,10872.0,10867.0,10871.0,378
2023-01-03,13:00,10871.5,10874.5,10867.0,10867.75,709
2023-01-03,13:01,10868.25,10871.5,10867.5,10868.25,471
2023-01-03,13:02,10868.25,10870.0,10864.0,10866.25,597
2023-01-03,13:03,10866.25,10869.0,10863.0,10868.0,443
2023-01-03,13:04,10868.5,10877.25,10868.0,10873.0,1212
2023-01-03,13:05,10873.0,10873.25,10861.5,10863.0,861
2023-01-03,13:06,10863.0,10865.75,10862.25,10864.0,365
2023-01-03,13:07,10864.5,10867.5,10862.75,10864.25,581
2023-01-03,13:08,10864.75,10868.25,10858.25,10861.75,819
2023-01-03,13:09,10862.25,10868.25,10861.5,10863.0,482
2023-01-03,13:10,10863.25,10871.5,10860.5,10871.25,581
2023-01-03,13:11,10871.5,10880.75,10871.0,10879.25,1115
2023-01-03,13:12,10879.0,10879.25,10868.25,10870.75,693
2023-01-03,13:13,10870.75,10870.75,10855.25,10857.25,795
2023-01-03,13:14,10857.75,10862.5,10857.25,10862.0,809
2023-01-03,13:15,10861.75,10863.25,10857.5,10860.25,678
2023-01-03,13:16,10860.5,10863.5,10857.25,10857.5,415
2023-01-03,13:17,10857.75,10861.75,10855.0,10858.25,430
2023-01-03,13:18,10858.25,10864.75,10857.0,10858.0,536
2023-01-03,13:19,10858.75,10862.25,10856.5,10858.5,361
2023-01-03,13:20,10859.25,10859.25,10852.0,10852.5,712
2023-01-03,13:21,10853.0,10856.5,10852.75,10854.75,429
2023-01-03,13:22,10855.0,10859.75,10853.25,10856.75,489
2023-01-03,13:23,10856.5,10866.0,10855.75,10864.25,841
2023-01-03,13:24,10864.0,10867.75,10860.5,10863.5,711
2023-01-03,13:25,10863.0,10889.5,10862.5,10889.0,1726
2023-01-03,13:26,10889.25,10902.25,10888.25,10899.0,3202
2023-01-03,13:27,10899.25,10900.75,10891.75,10893.5,1453
2023-01-03,13:28,10893.25,10895.25,10888.25,10891.0,1023
2023-01-03,13:29,10890.75,10906.0,10890.75,10900.25,1471
2023-01-03,13:30,10900.5,10905.5,10896.25,10902.5,1200
2023-01-03,13:31,10902.25,10903.0,10896.0,10897.5,602
2023-01-03,13:32,10897.25,10900.25,10892.75,10897.5,878
2023-01-03,13:33,10896.75,10899.5,10895.25,10897.5,519
2023-01-03,13:34,10898.0,10903.25,10890.5,10892.5,740
2023-01-03,13:35,10893.0,10899.25,10890.25,10898.0,656
2023-01-03,13:36,10898.0,10907.0,10897.0,10905.0,1072
2023-01-03,13:37,10905.0,10906.0,10900.25,10904.5,622
2023-01-03,13:38,10904.25,10906.0,10895.75,10898.0,602
2023-01-03,13:39,10897.75,10900.25,10888.75,10890.75,900
2023-01-03,13:40,10891.0,10901.25,10889.75,10900.25,707
2023-01-03,13:41,10899.75,10909.75,10898.5,10904.0,1084
2023-01-03,13:42,10904.0,10905.75,10897.5,10902.0,654
2023-01-03,13:43,10902.25,10902.5,10895.25,10897.5,440
2023-01-03,13:44,10897.75,10899.75,10895.75,10898.75,433
2023-01-03,13:45,10898.75,10899.0,10887.75,10890.75,1128
2023-01-03,13:46,10891.25,10892.5,10886.5,10889.0,730
2023-01-03,13:47,10889.5,10893.25,10882.5,10886.5,932
2023-01-03,13:48,10887.5,10894.0,10887.0,10891.75,689
2023-01-03,13:49,10891.75,10896.5,10889.25,10892.5,606
2023-01-03,13:50,10892.75,10900.0,10890.5,10896.0,632
2023-01-03,13:51,10896.25,10897.75,10888.0,10893.25,537
2023-01-03,13:52,10892.5,10905.0,10892.0,10902.5,661
2023-01-03,13:53,10902.5,10909.25,10901.5,10907.25,923
2023-01-03,13:54,10906.75,10919.75,10906.0,10911.0,2072
2023-01-03,13:55,10911.0,10916.75,10904.5,10914.25,1061
2023-01-03,13:56,10914.75,10915.0,10909.75,10914.25,783
2023-01-03,13:57,10914.75,10915.5,10909.25,10909.5,605
2023-01-03,13:58,10909.75,10915.75,10909.75,10915.0,501
2023-01-03,13:59,10914.75,10919.0,10912.0,10914.75,730
2023-01-03,14:00,10915.0,10929.25,10912.0,10920.0,1873
2023-01-03,14:01,10919.5,10919.75,10901.0,10906.75,1761
2023-01-03,14:02,10907.5,10912.0,10903.5,10903.75,995
2023-01-03,14:03,10903.25,10906.5,10899.75,10903.0,876
2023-01-03,14:04,10903.25,10909.0,10902.5,10907.5,537
2023-01-03,14:05,10907.75,10913.0,10905.0,10906.0,884
2023-01-03,14:06,10906.25,10910.25,10902.0,10908.5,812
2023-01-03,14:07,10908.75,10915.25,10907.0,10913.25,624
2023-01-03,14:08,10913.5,10918.0,10912.0,10912.5,805
2023-01-03,14:09,10912.25,10917.0,10910.0,10914.5,714
2023-01-03,14:10,10914.75,10917.5,10907.75,10910.5,1166
2023-01-03,14:11,10910.75,10911.5,10906.75,10910.25,579
2023-01-03,14:12,10909.75,10911.25,10893.75,10900.25,1287
2023-01-03,14:13,10900.25,10908.75,10898.25,10907.25,1085
2023-01-03,14:14,10907.25,10909.0,10902.75,10906.5,640
2023-01-03,14:15,10906.25,10913.25,10905.5,10912.75,808
2023-01-03,14:16,10912.25,10918.5,10910.5,10914.0,933
2023-01-03,14:17,10913.25,10917.25,10912.25,10915.25,483
2023-01-03,14:18,10915.0,10917.0,10909.25,10912.75,713
2023-01-03,14:19,10912.5,10913.5,10899.5,10902.5,841
2023-01-03,14:20,10903.5,10907.25,10901.25,10906.25,566
2023-01-03,14:21,10906.25,10909.5,10901.75,10905.25,516
2023-01-03,14:22,10905.25,10909.0,10904.5,10905.5,507
2023-01-03,14:23,10905.75,10908.75,10897.25,10899.25,674
2023-01-03,14:24,10899.0,10900.5,10892.5,10896.0,1071
2023-01-03,14:25,10895.5,10900.25,10892.5,10893.0,876
2023-01-03,14:26,10892.75,10899.0,10892.75,10897.75,603
2023-01-03,14:27,10898.0,10906.0,10897.25,10904.25,1026
2023-01-03,14:28,10904.0,10904.5,10898.5,10900.25,530
2023-01-03,14:29,10900.25,10906.25,10899.75,10903.5,537
2023-01-03,14:30,10903.75,10908.5,10896.25,10898.75,1094
2023-01-03,14:31,10898.5,10901.75,10886.0,10887.0,1360
